customerId,recommendedProducts
1553,2|14|5|21|1|47|19|61|33|17
20400,6|26|10|4|75|277|90|98|87|154
19750,1|2|3|30|31|49|56|21|44|89
6334,34|37|25|118|168|80|145|191|289|46
27773,16|43|40|55|42|63|81|130|60|157
20027,71|6|57|110|8|2|14|49|44|160
10104,2|1|14|19|8|61|106|21|96|115
5522,5|13|14|35|44|2|1|33|19|21
9978,31|71|65|158|117|64|121|235|2|1
20966,69|52|59|31|84|53|271|72|60|65
218,8|4|49|44|71|179|22|38|14|98
9023,2|19|14|47|5|106|21|8|1|15
22253,44|64|67|127|196|208|3|62|163|84
1705,2|5|33|17|76|1|13|111|47|19
10526,1|2|21|14|30|0|17|5|95|61
13702,7|26|4|32|10|24|0|54|1|6
18388,0|1|31|59|4|12|18|226|53|69
6591,2|1|5|33|15|17|14|59|21|76
821,0|54|4|10|1|26|7|87|128|25
15830,0|39|1|11|23|86|147|98|122|29
18056,13|42|43|11|52|92|156|45|65|29
13225,1|8|14|22|0|115|49|38|48|36
4871,1|5|2|17|31|59|33|52|69|4
16104,11|23|29|228|105|39|91|152|107|46
5365,6|26|7|4|1|10|32|54|2|87
7180,2|1|14|21|15|17|0|30|61|137
7096,1|2|0|14|21|7|30|15|5|61
21259,9|1|45|17|30|50|56|2|64|63
14082,42|40|57|16|108|24|43|80|81|13
14748,2|1|0|115|126|179|19|14|3|106
26434,18|0|12|40|28|66|73|16|55|144
12641,40|93|60|63|56|130|28|9|42|45
14102,16|40|96|35|184|126|8|36|48|81
18038,16|40|55|18|28|81|267|0|159|43
4175,89|1|4|20|3|2|7|25|135|0
18051,0|39|1|134|22|170|110|147|148|115
15867,1|4|7|22|0|26|6|98|10|32
1043,13|4|25|15|7|20|2|26|6|57
11837,6|26|7|4|32|25|265|54|34|220
2831,39|86|12|0|51|146|22|1|30|3
19026,24|57|42|9|50|77|133|101|45|6
6769,1|2|17|21|30|14|137|78|97|5
23105,226|52|103|171|5|59|271|13|33|213
8475,13|88|43|35|108|202|52|24|104|96
19762,26|6|54|10|87|32|129|128|154|220
13658,4|1|7|0|10|54|26|6|87|2
9806,19|39|1|2|11|23|126|14|0|61
4618,2|15|1|14|64|17|149|8|44|37
5648,2|14|37|113|110|233|49|1|46|134
4659,8|44|38|36|48|79|49|179|110|194
15831,42|13|45|9|156|63|64|65|77|133
9796,1|7|65|31|13|17|42|52|5|77
14723,2|1|15|33|59|5|17|31|109|34
18268,8|38|36|48|44|79|180|49|229|194
23277,134|46|181|37|148|170|80|91|123|124
17031,64|65|42|158|62|67|70|183|196|116
12535,9|42|45|63|108|92|218|43|133|258
13529,1|0|31|7|12|30|2|59|60|18
13433,11|29|174|23|228|105|9|78|21|1
539,2|14|8|21|19|1|44|35|36|47
26263,5|2|33|1|17|59|76|69|111|13
23162,6|26|87|54|128|10|129|154|246|13
21386,4|7|77|71|22|57|13|6|98|1
9961,4|7|6|26|1|10|54|87|13|128
8931,4|26|24|13|6|77|51|7|10|57
15567,2|17|14|1|47|5|21|19|3|151
26760,6|26|10|54|87|154|32|246|129|27
15913,11|23|29|39|86|107|152|78|141|174
9954,4|7|1|22|10|26|6|0|13|77
1127,1|11|23|0|5|29|39|21|95|86
122,4|11|1|52|23|39|31|29|13|24
2396,24|57|77|4|13|42|71|178|140|50
8865,2|1|31|59|230|17|3|117|69|0
7274,5|1|19|2|21|17|95|60|59|69
22303,5|33|52|11|29|13|59|23|226|111
11167,9|45|50|63|24|42|133|282|131|139
12750,20|102|127|25|214|163|186|51|89|206
16450,13|4|122|26|52|7|43|20|54|25
7650,2|1|17|14|5|15|33|21|76|59
15309,5|2|1|17|33|76|41|20|59|68
6455,43|42|16|63|108|40|35|81|55|130
27097,2|47|14|19|15|21|20|61|35|41
7118,9|24|45|50|63|42|133|282|139|101
21658,20|40|25|9|100|12|8|112|16|102
22172,5|33|69|19|59|52|2|195|47|271
1037,20|25|16|7|0|40|1|55|15|12
2478,14|15|18|0|16|80|96|12|71|8
11468,0|21|61|1|18|5|296|12|16|11
5684,9|45|42|50|63|24|133|218|282|156
10550,5|33|17|69|13|52|65|43|42|60
28099,80|123|11|23|29|107|168|18|46|37
5095,12|0|18|1|31|7|9|66|22|73
15398,0|7|12|9|24|32|22|30|4|1
25235,103|226|171|52|19|13|223|271|5|72
24909,82|18|34|173|160|12|37|25|66|222
22608,13|1|7|42|65|2|77|57|4|5
12532,1|2|14|21|9|7|50|101|17|24
20624,5|2|33|59|17|1|69|76|13|72
21949,9|174|50|30|11|24|22|1|21|147
18445,5|59|69|1|60|52|33|17|2|31
4152,20|5|60|63|43|93|56|52|45|17
3223,71|42|57|24|178|208|77|120|65|142
22559,2|14|91|110|15|143|162|49|8|1
4,15|2|20|5|17|157|33|76|34|109
6182,2|1|19|3|17|21|5|254|89|47
3240,2|1|17|31|65|5|3|64|33|59
15786,1|7|0|4|10|2|54|26|6|31
27647,40|16|55|18|81|28|12|159|73|66
20961,53|70|62|119|3|59|85|69|12|230
7551,6|26|20|54|32|25|87|246|284|128
5562,6|26|10|24|4|54|98|57|154|32
1412,21|1|61|19|11|39|23|5|29|47
15358,1|4|0|22|7|2|30|21|98|147
6680,2|5|17|33|3|1|59|19|52|13
25644,24|51|9|140|77|50|57|11|45|142
25532,9|45|2|63|1|64|50|149|201|7
15012,1|31|59|2|69|230|0|7|60|117
10820,3|85|151|231|2|17|150|185|11|219
12142,20|25|135|41|172|163|206|127|68|67
22182,2|14|1|21|15|61|19|91|47|8
19554,12|0|66|40|18|115|144|126|100|16
1851,13|4|19|52|84|103|71|72|5|59
13114,4|10|26|7|13|54|6|0|32|154
6344,20|5|25|41|76|2|33|15|135|172
16605,0|1|7|12|10|54|32|66|4|2
7326,14|49|8|110|38|48|36|79|143|136
26978,11|23|29|107|92|108|203|39|86|80
19298,9|45|50|24|63|99|131|30|51|139
13821,42|45|63|13|43|65|64|31|133|50
12735,2|1|3|17|161|89|15|20|14|0
14483,1|30|0|95|21|146|199|39|86|89
11523,26|6|13|7|57|24|20|42|25|54
7919,1|2|7|14|17|21|15|4|9|6
9398,11|23|29|46|164|107|68|41|114|152
9173,2|3|46|164|17|70|15|134|62|91
16005,5|1|13|21|4|19|14|2|103|61
1653,8|44|49|14|3|38|96|36|71|46
7153,53|12|60|11|30|119|69|61|21|40
1783,1|2|7|9|50|45|14|24|17|4
261,20|25|135|41|172|163|206|127|68|67
11330,4|7|1|22|10|26|6|0|13|77
6803,55|18|33|15|5|2|16|94|59|1
3171,15|20|16|14|40|25|35|8|26|1
2892,13|43|72|52|84|57|65|255|5|4
4717,37|34|15|109|124|168|113|225|192|94
2815,71|65|57|2|64|13|15|117|77|158
1090,13|5|2|72|1|33|4|59|84|87
3773,4|25|6|62|70|222|161|67|7|82
7443,2|5|1|19|33|4|13|17|52|103
1111,20|44|3|25|84|62|67|35|104|116
16143,5|20|35|63|104|111|167|76|60|270
10923,2|15|109|34|37|33|1|118|17|5
14443,9|45|50|24|63|131|99|282|237|101
1042,20|6|4|3|67|161|13|64|7|62
4527,7|13|42|72|43|1|26|15|0|24
1073,3|11|39|17|23|2|70|62|68|86
4613,13|43|5|105|33|78|72|97|57|91
14032,51|8|49|184|38|96|36|48|79|126
5430,5|2|33|41|17|76|68|13|1|111
2202,22|4|98|0|6|3|1|231|12|160
4405,3|2|1|39|17|19|21|89|85|70
2417,18|12|62|25|70|160|82|73|34|31
20858,31|117|160|71|44|69|65|18|244|59
7510,13|84|72|43|52|25|20|65|16|69
3593,2|14|1|19|21|61|106|47|91|85
9960,9|20|45|63|21|30|92|5|50|89
8734,14|8|35|21|36|49|112|38|100|48
25294,26|10|6|54|32|154|129|87|246|4
6646,17|2|3|46|62|70|67|68|65|76
4524,37|34|168|15|80|109|94|192|124|123
19004,25|20|44|13|35|84|88|104|67|62
263,40|16|12|18|0|28|53|55|60|81
320,14|21|2|47|105|91|61|78|228|136
16393,1|30|0|21|9|56|12|50|7|99
6326,2|19|21|47|17|14|61|5|1|151
11321,11|29|23|92|41|78|141|86|137|107
8844,64|65|20|42|157|45|44|156|63|84
7625,0|1|10|4|54|129|122|5|154|189
9646,18|34|37|160|245|73|12|80|40|28
6166,2|3|1|17|89|254|151|21|68|76
2052,1|0|11|39|23|29|86|152|21|298
2626,2|5|20|17|33|76|25|59|62|70
9889,11|23|29|105|13|122|26|203|78|228
16409,1|14|21|2|61|49|115|19|22|30
7005,94|37|97|192|124|153|78|34|1|137
13181,1|4|2|0|7|5|10|3|89|59
4442,2|1|19|5|14|21|17|33|59|47
7846,1|21|2|30|9|141|137|14|78|136
19221,0|1|12|30|18|66|7|28|22|31
9155,2|3|46|17|70|62|164|67|138|116
4070,47|44|49|3|8|16|36|11|62|19
1416,13|4|26|7|11|122|54|77|105|10
22687,20|25|41|135|172|122|68|227|89|67
14865,24|9|50|45|7|101|99|63|237|42
4087,9|1|24|14|101|113|7|50|49|37
17361,63|9|45|42|50|43|5|93|13|24
250,26|25|122|6|4|20|13|54|46|87
6799,11|2|17|29|23|3|47|92|150|151
19910,70|67|62|3|116|138|188|25|114|247
8230,2|5|1|17|21|19|14|33|47|76
26590,35|88|63|104|108|197|43|92|167|45
6777,5|2|19|33|47|14|17|35|106|21
26618,20|45|9|93|25|41|269|157|76|130
27551,49|8|38|48|190|36|79|179|264|102
10018,26|7|4|6|1|0|32|54|98|10
862,2|47|15|21|152|14|5|11|19|23
3984,2|37|124|143|1|136|97|15|137|78
5368,9|24|7|50|45|99|43|13|20|26
6294,15|2|37|78|97|94|124|109|153|137
4407,52|5|33|19|65|13|69|84|71|85
15192,1|0|20|12|30|7|28|66|2|25
806,3|2|17|47|151|19|150|21|89|11
5193,4|24|13|26|98|6|96|88|51|10
3300,9|24|1|14|50|42|63|21|101|49
2615,34|37|18|73|28|225|12|253|31|109
1156,9|78|141|205|137|11|136|86|17|149
23067,13|11|52|29|23|43|5|33|72|171
21941,13|43|26|6|92|41|57|20|258|45
17446,0|12|1|30|66|18|28|56|40|144
3651,15|34|18|16|12|37|40|168|80|94
11570,49|8|38|48|36|79|190|110|44|179
10871,1|30|9|146|39|21|51|22|86|199
22136,11|23|29|16|96|103|80|223|19|106
5264,6|26|7|15|1|14|2|113|4|24
7755,1|17|4|30|7|89|95|5|52|2
7228,51|98|22|24|26|32|39|147|140|9
3257,2|17|5|76|89|3|151|1|21|47
13895,40|25|16|20|66|212|51|12|108|234
7011,1|2|0|31|17|30|59|21|12|7
28015,15|2|34|109|37|118|33|191|145|55
25122,7|24|9|4|50|77|6|22|101|26
22428,1|2|0|7|30|21|17|31|4|5
19340,69|16|59|5|72|52|33|271|84|53
11119,9|1|39|86|51|22|205|2|114|141
12521,71|22|4|121|283|231|208|77|24|57
10838,115|126|0|96|8|61|22|36|179|48
12578,3|2|19|151|47|14|89|102|165|17
7394,46|164|11|181|23|134|148|114|123|80
12724,12|18|31|40|0|1|53|30|42|66
21818,8|44|38|36|48|79|20|102|25|177
28398,20|25|135|41|172|163|206|127|68|67
4476,2|1|17|5|76|33|59|21|3|31
6443,13|42|43|63|7|5|45|24|50|72
7722,1|2|17|14|5|7|21|0|15|31
9873,49|8|38|48|36|79|190|110|44|179
595,62|67|70|116|3|46|138|188|175|114
7299,6|2|87|13|26|75|128|161|294|82
